filename,width,height,class,xmin,ymin,xmax,ymax
0.jpg,5184,3456,dolphin,1978,1410,3555,2222
1.jpg,5184,3456,dolphin,302,1047,1198,1338
1.jpg,5184,3456,dolphin,2185,1234,2311,1364
1.jpg,5184,3456,dolphin,2528,1221,4689,1538
10.jpg,5184,3456,dolphin,302,1087,1350,1500
100.jpg,5184,3456,dolphin,1,1700,2215,2075
1000.jpg,5184,3456,dolphin,2611,1778,3064,2086
1001.jpg,5184,3456,dolphin,2146,2256,3363,2686
1002.jpg,5184,3456,dolphin,1885,1626,3433,2239
1003.jpg,5184,3456,dolphin,2607,1508,3307,2208
1004.jpg,5184,3456,dolphin,2272,1704,2546,1960
1005.jpg,5184,3456,dolphin,2994,1165,3403,1443
1005.jpg,5184,3456,dolphin,2020,1273,3585,1682
1006.jpg,5184,3456,dolphin,1994,1604,3216,2039
1007.jpg,5184,3456,dolphin,1864,1821,2916,2121
1008.jpg,5184,3456,dolphin,1642,1891,3381,2708
1009.jpg,5184,3456,dolphin,746,1243,1398,1639
101.jpg,5184,3456,dolphin,2056,2171,5165,2979
1010.jpg,5184,3456,dolphin,2351,1904,2737,2113
1010.jpg,5184,3456,dolphin,1907,1908,2794,2230
1011.jpg,5184,3456,dolphin,2442,1647,3364,2082
1012.jpg,5184,3456,dolphin,2042,1652,2220,1782
1013.jpg,5184,3456,dolphin,2055,1252,3429,1760
1014.jpg,5184,3456,dolphin,1363,1782,2254,2130
1014.jpg,5184,3456,dolphin,2664,2108,3320,2313
1014.jpg,5184,3456,dolphin,2994,1939,3559,2247
1014.jpg,5184,3456,dolphin,3824,1978,4768,2408
1015.jpg,5184,3456,dolphin,1811,1634,2151,2160
1016.jpg,5184,3456,dolphin,2468,1508,3407,1826
1017.jpg,5184,3456,dolphin,1799,1600,2512,1883
1018.jpg,5184,3456,dolphin,1803,1239,2507,1708
1019.jpg,5184,3456,dolphin,2129,969,3516,1491
102.jpg,5184,3456,dolphin,1031,1296,3915,2279
102.jpg,5184,3456,dolphin,1511,1350,2211,1838
1020.jpg,5472,3648,dolphin,1,2081,1983,2808
1020.jpg,5472,3648,dolphin,1850,2122,4050,2985
1021.jpg,5184,3456,dolphin,2272,1547,3177,1952
1022.jpg,5184,3456,dolphin,2368,1847,2864,2304
1023.jpg,5184,3456,dolphin,1416,1100,1720,1469
1023.jpg,5184,3456,dolphin,3294,1321,3981,1626
1024.jpg,5184,3456,dolphin,1955,1978,2268,2143
1025.jpg,5472,3648,dolphin,2415,1772,4038,2386
1026.jpg,5184,3456,dolphin,985,1552,1924,1969
1026.jpg,5184,3456,dolphin,2185,1739,2733,2004
1026.jpg,5184,3456,dolphin,2542,1747,2846,2008
1027.jpg,5184,3456,dolphin,2885,1860,3259,2186
1028.jpg,5184,3456,dolphin,798,2226,2351,2595
1029.jpg,5184,3456,dolphin,1785,1973,2294,2160
103.jpg,5184,3456,dolphin,1077,1188,3665,2388
1030.jpg,5184,3456,dolphin,2729,1352,4029,1895
1030.jpg,5184,3456,dolphin,4016,1434,5184,1908
1031.jpg,5184,3456,dolphin,2181,1613,2498,1808
1032.jpg,5184,3456,dolphin,2120,1456,2746,1743
1033.jpg,5184,3456,dolphin,2811,2265,3294,2621
1034.jpg,5184,3456,dolphin,1520,1382,3729,2143
1035.jpg,5184,3456,dolphin,2559,1843,3124,2121
1036.jpg,5184,3456,dolphin,868,1304,1859,1730
1037.jpg,5184,3456,dolphin,1518,1725,1616,1854
1037.jpg,5184,3456,dolphin,1529,1680,2010,1922
1037.jpg,5184,3456,dolphin,1935,1701,2329,1937
1038.jpg,5184,3456,dolphin,2203,1439,3751,1991
1039.jpg,5184,3456,dolphin,1707,1395,3107,1960
104.jpg,5184,3456,dolphin,2386,654,3332,1625
1040.jpg,5184,3456,dolphin,2333,2165,2507,2356
1041.jpg,5184,3456,dolphin,2124,2113,2703,2386
1042.jpg,5184,3456,dolphin,1724,1491,2003,1739
1042.jpg,5184,3456,dolphin,1351,1495,2072,1773
1043.jpg,5184,3456,dolphin,2637,1395,3946,2147
1044.jpg,5184,3456,dolphin,2181,1852,2737,2178
1045.jpg,5184,3456,dolphin,1555,1369,3355,1908
1046.jpg,5184,3456,dolphin,633,1186,2033,1721
1047.jpg,5184,3456,dolphin,2637,1756,3016,1908
1048.jpg,5184,3456,dolphin,2033,2095,2342,2239
1049.jpg,5184,3456,dolphin,2177,2565,3168,3034
105.jpg,5184,3456,dolphin,2519,1342,3852,1750
1050.jpg,5184,3456,dolphin,2677,2069,3455,2343
1051.jpg,5472,3648,dolphin,529,885,1174,1217
1051.jpg,5472,3648,dolphin,1097,985,1792,1258
1052.jpg,5184,3456,dolphin,2820,2130,4159,2452
1053.jpg,5184,3456,dolphin,751,1386,3442,2360
1054.jpg,5184,3456,dolphin,1690,1195,3568,1960
1055.jpg,5184,3456,dolphin,90,1847,677,2043
1055.jpg,5184,3456,dolphin,1,1895,233,2047
1056.jpg,5184,3456,dolphin,1346,1478,2833,1952
1057.jpg,5184,3456,dolphin,2690,1860,3420,2139
1058.jpg,5184,3456,dolphin,2581,1560,2937,1743
1059.jpg,5184,3456,dolphin,2642,1156,3651,1804
106.jpg,5184,3456,dolphin,1752,1392,2656,1784
1060.jpg,5184,3456,dolphin,2442,1747,2816,1939
1061.jpg,5184,3456,dolphin,1937,1600,2585,1995
1062.jpg,5184,3456,dolphin,2824,1752,3129,2117
1063.jpg,5184,3456,dolphin,1411,1382,3007,1986
1064.jpg,5184,3456,dolphin,1620,1056,5184,3456
1065.jpg,5184,3456,dolphin,2346,1439,3398,2191
1066.jpg,5184,3456,dolphin,3437,2678,4790,3126
1067.jpg,5184,3456,dolphin,2703,1947,2920,2113
1068.jpg,5184,3456,dolphin,1733,1573,2955,2069
1069.jpg,5184,3456,dolphin,890,1673,2377,2095
1069.jpg,5184,3456,dolphin,2733,1782,3629,2117
1069.jpg,5184,3456,dolphin,4077,2017,4907,2282
107.jpg,5184,3456,dolphin,1,750,1819,1754
107.jpg,5184,3456,dolphin,1594,1221,3306,1775
1070.jpg,5184,3456,dolphin,655,1317,2233,2013
1070.jpg,5184,3456,dolphin,2590,1752,4081,2104
1071.jpg,5184,3456,dolphin,907,2026,3299,2865
1071.jpg,5184,3456,dolphin,2803,2434,4572,3178
1072.jpg,5184,3456,dolphin,2437,1552,4072,2117
1073.jpg,5184,3456,dolphin,2811,1665,3416,1900
1074.jpg,5472,3648,dolphin,1138,2267,1479,2594
1074.jpg,5472,3648,dolphin,2574,2235,3006,2608
1075.jpg,5184,3456,dolphin,2024,1452,2859,1786
1076.jpg,5184,3456,dolphin,1898,1730,2364,2052
1077.jpg,5184,3456,dolphin,2624,2086,2842,2260
1078.jpg,5184,3456,dolphin,2790,1847,2998,2021
1079.jpg,5184,3456,dolphin,2555,1395,3137,1734
108.jpg,5184,3456,dolphin,1261,1567,3098,1929
1080.jpg,5184,3456,dolphin,2611,1665,3037,1865
1081.jpg,5184,3456,dolphin,2181,630,5184,2313
1082.jpg,5184,3456,dolphin,3672,2347,4494,2634
1083.jpg,5184,3456,dolphin,11,982,720,1473
1083.jpg,5184,3456,dolphin,2746,1139,3907,1595
1084.jpg,5184,3456,dolphin,16,1895,285,2108
1084.jpg,5184,3456,dolphin,2384,2172,2595,2302
1085.jpg,5184,3456,dolphin,3198,2165,3677,2443
1086.jpg,5184,3456,dolphin,1751,317,3916,1104
1087.jpg,5184,3456,dolphin,3611,1321,3885,1565
1088.jpg,5184,3456,dolphin,2403,1591,3007,1930
1089.jpg,5184,3456,dolphin,1116,1856,2872,2313
109.jpg,5184,3456,dolphin,1823,1350,2790,2025
109.jpg,5184,3456,dolphin,2627,1150,3777,1942
1090.jpg,5184,3456,dolphin,1620,1913,2168,2208
1091.jpg,5184,3456,dolphin,1864,1786,3690,2513
1092.jpg,5184,3456,dolphin,1624,1391,2146,1608
1092.jpg,5184,3456,dolphin,3194,1486,3337,1639
1093.jpg,5184,3456,dolphin,7,1647,1003,2069
1093.jpg,5184,3456,dolphin,2664,1795,2929,2013
1094.jpg,5184,3456,dolphin,3968,2147,4320,2286
1095.jpg,5184,3456,dolphin,2637,1743,2911,2013
1096.jpg,5184,3456,dolphin,1,1147,2998,2391
1097.jpg,5184,3456,dolphin,2672,1721,2859,1900
1098.jpg,5184,3456,dolphin,1220,1717,1546,2008
1098.jpg,5184,3456,dolphin,1542,1660,2277,2047
1098.jpg,5184,3456,dolphin,2703,1843,3216,2178
1099.jpg,5184,3456,dolphin,2542,1300,2768,1543
11.jpg,5184,3456,dolphin,1,1138,581,1542
11.jpg,5184,3456,dolphin,659,1434,2176,2342
11.jpg,5184,3456,dolphin,1537,1321,4115,2290
110.jpg,5184,3456,dolphin,1886,1100,3207,1804
1100.jpg,5184,3456,dolphin,1864,1465,2107,1682
1100.jpg,5184,3456,dolphin,2081,1147,3733,1734
1101.jpg,5184,3456,dolphin,2034,1208,3251,1821
1102.jpg,5184,3456,dolphin,1885,1800,3072,2243
1103.jpg,5184,3456,dolphin,872,991,2903,1769
1104.jpg,5472,3648,dolphin,3574,1731,3979,2081
1105.jpg,5184,3456,dolphin,2146,1852,2333,2008
1105.jpg,5184,3456,dolphin,2290,1730,3216,2191
1106.jpg,5184,3456,dolphin,2359,1286,2881,1521
1107.jpg,5184,3456,dolphin,1694,1287,2381,1626
1108.jpg,5184,3456,dolphin,738,1052,2060,1713
1109.jpg,5184,3456,dolphin,2433,1556,2751,1782
111.jpg,5184,3456,dolphin,1627,1517,3469,1950
1110.jpg,5184,3456,dolphin,3103,1404,3442,1700
1111.jpg,5184,3456,dolphin,1907,1478,3446,2026
1112.jpg,5184,3456,dolphin,1520,1639,2020,1886
1113.jpg,5184,3456,dolphin,972,1456,3933,2634
1114.jpg,5184,3456,dolphin,1502,2026,2468,2400
1114.jpg,5184,3456,dolphin,2772,2052,3868,2491
1115.jpg,5184,3456,dolphin,3294,1291,3559,1521
1116.jpg,5184,3456,dolphin,1633,1530,3803,2282
1117.jpg,5184,3456,dolphin,1151,1456,3690,2308
1118.jpg,5184,3456,dolphin,2572,1495,4098,2247
1119.jpg,5184,3456,dolphin,751,1373,1668,1691
1119.jpg,5184,3456,dolphin,1777,1365,3151,1852
1119.jpg,5184,3456,dolphin,2524,1208,3524,1691
112.jpg,5184,3456,dolphin,1,1484,3506,2263
1120.jpg,5184,3456,dolphin,2116,1669,2407,1865
1120.jpg,5184,3456,dolphin,2759,1717,3207,1956
1121.jpg,5184,3456,dolphin,3381,1447,4033,1934
1122.jpg,5472,3648,dolphin,2638,1699,3106,2104
1122.jpg,5472,3648,dolphin,3010,1713,4101,2159
1123.jpg,5184,3456,dolphin,2472,1773,3490,2078
1124.jpg,5184,3456,dolphin,2072,2134,3337,2513
1125.jpg,5184,3456,dolphin,1833,1286,4342,2813
1126.jpg,5184,3456,dolphin,2111,73,5184,1143
1127.jpg,5184,3456,dolphin,1981,1252,3255,1673
1128.jpg,5184,3456,dolphin,1459,386,5103,3308
1129.jpg,5184,3456,dolphin,1298,704,3011,1665
113.jpg,5184,3456,dolphin,2040,2184,3094,2559
1130.jpg,5184,3456,dolphin,1677,2100,2964,2595
1131.jpg,5472,3648,dolphin,1942,1849,3629,2458
1132.jpg,5184,3456,dolphin,2559,1221,3864,1760
1133.jpg,5184,3456,dolphin,2398,1526,2907,1934
1134.jpg,5184,3456,dolphin,2511,1552,2885,1869
1135.jpg,5184,3456,dolphin,2311,1304,3707,1795
1136.jpg,5184,3456,dolphin,1664,1360,3259,2134
1137.jpg,5184,3456,dolphin,2537,1978,2990,2234
1138.jpg,5184,3456,dolphin,1689,738,3224,1795
1139.jpg,5184,3456,dolphin,1881,1482,4381,2656
114.jpg,5184,3456,dolphin,1,1767,652,2129
114.jpg,5184,3456,dolphin,1902,1775,3315,2196
1140.jpg,5472,3648,dolphin,2010,1272,5379,2758
1141.jpg,5184,3456,dolphin,1468,1151,1907,1403
1142.jpg,5184,3456,dolphin,2490,2243,3307,2700
1143.jpg,5184,3456,dolphin,659,1773,2985,2330
1144.jpg,5184,3456,dolphin,1468,1595,2998,2008
1144.jpg,5184,3456,dolphin,4198,1747,5184,2069
1145.jpg,5184,3456,dolphin,2659,2078,3277,2382
1146.jpg,5184,3456,dolphin,1981,1682,3137,2091
1147.jpg,5184,3456,dolphin,2411,1752,2751,1991
1148.jpg,5184,3456,dolphin,2585,1652,2790,1847
1149.jpg,5184,3456,dolphin,2572,1800,3103,2117
115.jpg,5184,3456,dolphin,2177,1996,2390,2234
