filename,width,height,class,xmin,ymin,xmax,ymax
0.jpg,5184,3456,dolphin,1978.0,1410.0,3555.0,2222.0
1.jpg,5184,3456,dolphin,302.0,1047.0,1198.0,1338.0
1.jpg,5184,3456,dolphin,2185.0,1234.0,2311.0,1364.0
1.jpg,5184,3456,dolphin,2528.0,1221.0,4689.0,1538.0
10.jpg,5184,3456,dolphin,302.0,1087.0,1350.0,1500.0
100.jpg,5184,3456,dolphin,1.0,1700.0,2215.0,2075.0
1000.jpg,5184,3456,dolphin,2611.0,1778.0,3064.0,2086.0
1001.jpg,5184,3456,dolphin,2146.0,2256.0,3363.0,2686.0
1002.jpg,5184,3456,dolphin,1885.0,1626.0,3433.0,2239.0
1003.jpg,5184,3456,dolphin,2607.0,1508.0,3307.0,2208.0
1004.jpg,5184,3456,dolphin,2272.0,1704.0,2546.0,1960.0
1005.jpg,5184,3456,dolphin,2994.0,1165.0,3403.0,1443.0
1005.jpg,5184,3456,dolphin,2020.0,1273.0,3585.0,1682.0
1006.jpg,5184,3456,dolphin,1994.0,1604.0,3216.0,2039.0
1007.jpg,5184,3456,dolphin,1864.0,1821.0,2916.0,2121.0
1008.jpg,5184,3456,dolphin,1642.0,1891.0,3381.0,2708.0
1009.jpg,5184,3456,dolphin,746.0,1243.0,1398.0,1639.0
101.jpg,5184,3456,dolphin,2056.0,2171.0,5165.0,2979.0
1010.jpg,5184,3456,dolphin,2351.0,1904.0,2737.0,2113.0
1010.jpg,5184,3456,dolphin,1907.0,1908.0,2794.0,2230.0
1011.jpg,5184,3456,dolphin,2442.0,1647.0,3364.0,2082.0
1012.jpg,5184,3456,dolphin,2042.0,1652.0,2220.0,1782.0
1013.jpg,5184,3456,dolphin,2055.0,1252.0,3429.0,1760.0
1014.jpg,5184,3456,dolphin,1363.0,1782.0,2254.0,2130.0
1014.jpg,5184,3456,dolphin,2664.0,2108.0,3320.0,2313.0
1014.jpg,5184,3456,dolphin,2994.0,1939.0,3559.0,2247.0
1014.jpg,5184,3456,dolphin,3824.0,1978.0,4768.0,2408.0
1015.jpg,5184,3456,dolphin,1811.0,1634.0,2151.0,2160.0
1016.jpg,5184,3456,dolphin,2468.0,1508.0,3407.0,1826.0
1017.jpg,5184,3456,dolphin,1799.0,1600.0,2512.0,1883.0
1018.jpg,5184,3456,dolphin,1803.0,1239.0,2507.0,1708.0
1019.jpg,5184,3456,dolphin,2129.0,969.0,3516.0,1491.0
102.jpg,5184,3456,dolphin,1031.0,1296.0,3915.0,2279.0
102.jpg,5184,3456,dolphin,1511.0,1350.0,2211.0,1838.0
1020.jpg,5472,3648,dolphin,1.0,2081.0,1983.0,2808.0
1020.jpg,5472,3648,dolphin,1850.0,2122.0,4050.0,2985.0
1021.jpg,5184,3456,dolphin,2272.0,1547.0,3177.0,1952.0
1022.jpg,5184,3456,dolphin,2368.0,1847.0,2864.0,2304.0
1023.jpg,5184,3456,dolphin,1416.0,1100.0,1720.0,1469.0
1023.jpg,5184,3456,dolphin,3294.0,1321.0,3981.0,1626.0
1024.jpg,5184,3456,dolphin,1955.0,1978.0,2268.0,2143.0
1025.jpg,5472,3648,dolphin,2415.0,1772.0,4038.0,2386.0
1026.jpg,5184,3456,dolphin,985.0,1552.0,1924.0,1969.0
1026.jpg,5184,3456,dolphin,2185.0,1739.0,2733.0,2004.0
1026.jpg,5184,3456,dolphin,2542.0,1747.0,2846.0,2008.0
1027.jpg,5184,3456,dolphin,2885.0,1860.0,3259.0,2186.0
1028.jpg,5184,3456,dolphin,798.0,2226.0,2351.0,2595.0
1029.jpg,5184,3456,dolphin,1785.0,1973.0,2294.0,2160.0
103.jpg,5184,3456,dolphin,1077.0,1188.0,3665.0,2388.0
1030.jpg,5184,3456,dolphin,2729.0,1352.0,4029.0,1895.0
1030.jpg,5184,3456,dolphin,4016.0,1434.0,5184.0,1908.0
1031.jpg,5184,3456,dolphin,2181.0,1613.0,2498.0,1808.0
